Court File number,Unmet demand (months),Lottery ranking,Hearing Length (days),Registry ID,Court Class,First Choice Date,Second Choice Date,Third Choice Date,Fourth Choice Date,Fifth Choice Date,Date booked,New unmet demand (months)
VA M20213,3,1,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20193,3,2,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20064,3,3,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20135,3,4,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20206,3,5,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20163,3,6,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20044,3,7,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20212,3,8,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20119,3,9,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20106,3,10,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20125,3,11,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20187,3,12,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20094,3,13,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20194,3,14,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20102,3,15,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20134,3,16,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20133,3,17,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20175,3,18,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20091,3,19,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20053,3,20,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20180,3,21,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20040,3,22,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20218,3,23,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20138,3,24,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20177,3,25,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20089,3,26,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20166,3,27,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20108,3,28,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20078,3,29,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20173,3,30,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20107,3,31,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M20190,3,32,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M30138,2,1,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M30114,2,2,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M30182,2,3,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M30041,2,4,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M30085,2,5,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M30082,2,6,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M30204,2,7,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M30091,2,8,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M30141,2,9,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M30171,2,10,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M30024,2,11,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,06-January-2025,0
VA M30101,2,12,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30200,2,13,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30156,2,14,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30075,2,15,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30165,2,16,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30036,2,17,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30088,2,18,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30052,2,19,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30033,2,20,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30079,2,21,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30155,2,22,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30189,2,23,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30064,2,24,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30087,2,25,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30207,2,26,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30083,2,27,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30109,2,28,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30051,2,29,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30096,2,30,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30023,2,31,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30070,2,32,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30169,2,33,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30229,2,34,3,VA,M - Motor Vehicle Accidents,07-January-2025,08-January-2025,14-January-2025,15-January-2025,21-January-2025,21-January-2025,0
VA M30047,2,35,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30127,2,36,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30086,2,37,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30128,2,38,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30230,2,39,3,VA,M - Motor Vehicle Accidents,07-January-2025,08-January-2025,14-January-2025,15-January-2025,21-January-2025,21-January-2025,0
VA M30144,2,40,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30026,2,41,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30219,2,42,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30067,2,43,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30235,2,44,3,VA,M - Motor Vehicle Accidents,07-January-2025,08-January-2025,14-January-2025,15-January-2025,21-January-2025,21-January-2025,0
VA M30133,2,45,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30030,2,46,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30095,2,47,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30131,2,48,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
VA M30152,2,49,5,VA,M - Motor Vehicle Accidents,06-January-2025,13-January-2025,20-January-2025,27-January-2025,,13-January-2025,0
