Court File number,Unmet demand (months),Lottery ranking,Hearing Length (days),Registry ID,Court Class,First Choice Date,Second Choice Date,Third Choice Date,Fourth Choice Date,Fifth Choice Date,Date booked,New unmet demand (months)
VA M00002,0,1,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00110,0,2,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00145,0,3,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00114,0,4,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00099,0,5,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00091,0,6,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00134,0,7,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00187,0,8,1,VA,M - Motor Vehicle Accidents,06-August-2024,12-August-2024,19-August-2024,26-August-2024,,06-August-2024,0
VA M00037,0,9,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00003,0,10,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00108,0,11,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00148,0,12,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00064,0,13,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00094,0,14,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00149,0,15,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00090,0,16,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00132,0,17,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00181,0,18,1,VA,M - Motor Vehicle Accidents,06-August-2024,12-August-2024,19-August-2024,26-August-2024,,06-August-2024,0
VA M00143,0,19,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00113,0,20,1,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
