Court File number,Unmet demand (months),Lottery ranking,Hearing Length (days),Registry ID,Court Class,First Choice Date,Second Choice Date,Third Choice Date,Fourth Choice Date,Fifth Choice Date,Date booked,New unmet demand (months)
VA M00025,1,1,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00054,1,2,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00105,1,3,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00090,1,4,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00004,1,5,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00060,1,6,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00000,1,7,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00080,1,8,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00120,1,9,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00129,1,10,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00104,1,11,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00164,1,12,3,VA,M - Motor Vehicle Accidents,04-September-2024,10-September-2024,11-September-2024,17-September-2024,18-September-2024,04-September-2024,0
VA M00050,1,13,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00053,1,14,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00119,1,15,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00007,1,16,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00047,1,17,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00095,1,18,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00196,1,19,16,VA,M - Motor Vehicle Accidents,03-September-2024,09-September-2024,16-September-2024,23-September-2024,30-September-2024,03-September-2024,0
VA M00087,1,20,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00117,1,21,5,VA,M - Motor Vehicle Accidents,09-September-2024,16-September-2024,23-September-2024,30-September-2024,,09-September-2024,0
VA M00165,1,22,3,VA,M - Motor Vehicle Accidents,04-September-2024,10-September-2024,11-September-2024,17-September-2024,18-September-2024,04-September-2024,0
