Court File number,Unmet demand (months),Lottery ranking,Hearing Length (days),Registry ID,Court Class,First Choice Date,Second Choice Date,Third Choice Date,Fourth Choice Date,Fifth Choice Date,Date booked,New unmet demand (months)
VA M00133,0,1,5,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00192,0,2,6,VA,M - Motor Vehicle Accidents,06-August-2024,12-August-2024,19-August-2024,26-August-2024,,06-August-2024,0
VA M00023,0,3,5,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00129,0,4,5,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00132,0,5,5,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00002,0,6,5,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00059,0,7,5,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00166,0,8,3,VA,M - Motor Vehicle Accidents,07-August-2024,13-August-2024,14-August-2024,20-August-2024,21-August-2024,07-August-2024,0
VA M00067,0,9,5,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00073,0,10,5,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00180,0,11,1,VA,M - Motor Vehicle Accidents,01-August-2024,02-August-2024,07-August-2024,08-August-2024,09-August-2024,01-August-2024,0
VA M00147,0,12,5,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00077,0,13,5,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
VA M00096,0,14,5,VA,M - Motor Vehicle Accidents,12-August-2024,19-August-2024,26-August-2024,,,12-August-2024,0
