Court File number,Unmet demand (months),Lottery ranking,Hearing Length (days),Registry ID,Court Class,First Choice Date,Second Choice Date,Third Choice Date,Fourth Choice Date,Fifth Choice Date,Date booked,New unmet demand (months)
VA M00161,2,1,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00170,2,2,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00163,2,3,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00363,1,1,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00274,1,2,5,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,Not Booked,2
VA M00376,1,3,1,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,04-October-2024,08-October-2024,01-October-2024,0
VA M00371,1,4,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,01-October-2024,0
VA M00368,1,5,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00372,1,6,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,01-October-2024,0
VA M00397,1,7,25,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,,,,07-October-2024,0
VA M00396,1,8,30,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,,,,07-October-2024,0
VA M00281,1,9,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,01-October-2024,0
VA M00373,1,10,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,01-October-2024,0
VA M00273,1,11,5,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,Not Booked,2
VA M00366,1,12,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,08-October-2024,0
VA M00367,1,13,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,08-October-2024,0
VA M00378,1,14,1,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,04-October-2024,08-October-2024,02-October-2024,0
VA M00364,1,15,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,08-October-2024,0
VA M00375,1,16,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,02-October-2024,0
VA M00370,1,17,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,08-October-2024,0
VA M00377,1,18,1,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,04-October-2024,08-October-2024,02-October-2024,0
VA M00379,1,19,1,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,04-October-2024,08-October-2024,02-October-2024,0
VA M00369,1,20,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,08-October-2024,0
VA M00361,1,21,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,08-October-2024,0
VA M00272,1,22,5,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,Not Booked,2
VA M00374,1,23,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,02-October-2024,0
VA M00362,1,24,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,08-October-2024,0
VA M00275,1,25,5,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,Not Booked,2
VA M00380,1,26,1,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,04-October-2024,08-October-2024,02-October-2024,0
VA M00365,1,27,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,08-October-2024,0
VA M10351,0,1,4,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,21-October-2024,28-October-2024,,07-October-2024,0
VA M10249,0,2,5,VA,M - Motor Vehicle Accidents,07-October-2024,21-October-2024,28-October-2024,,,07-October-2024,0
VA M10233,0,3,5,VA,M - Motor Vehicle Accidents,07-October-2024,21-October-2024,28-October-2024,,,07-October-2024,0
VA M10354,0,4,4,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,21-October-2024,28-October-2024,,07-October-2024,0
VA M10003,0,5,20,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,,,,15-October-2024,0
VA M10091,0,6,7,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,21-October-2024,28-October-2024,,07-October-2024,0
VA M10220,0,7,5,VA,M - Motor Vehicle Accidents,07-October-2024,21-October-2024,28-October-2024,,,07-October-2024,0
VA M10274,0,8,2,VA,M - Motor Vehicle Accidents,07-October-2024,01-October-2024,21-October-2024,02-October-2024,28-October-2024,03-October-2024,0
VA M10219,0,9,5,VA,M - Motor Vehicle Accidents,07-October-2024,21-October-2024,28-October-2024,,,07-October-2024,0
VA M10237,0,10,5,VA,M - Motor Vehicle Accidents,07-October-2024,21-October-2024,28-October-2024,,,07-October-2024,0
VA M10280,0,11,5,VA,M - Motor Vehicle Accidents,07-October-2024,21-October-2024,28-October-2024,,,07-October-2024,0
VA M10088,0,12,10,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,21-October-2024,28-October-2024,,07-October-2024,0
VA M10255,0,13,5,VA,M - Motor Vehicle Accidents,07-October-2024,21-October-2024,28-October-2024,,,07-October-2024,0
VA M10247,0,14,5,VA,M - Motor Vehicle Accidents,07-October-2024,21-October-2024,28-October-2024,,,07-October-2024,0
VA M10372,0,15,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,Not Booked,1
VA M10353,0,16,4,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,21-October-2024,28-October-2024,,07-October-2024,0
VA M10224,0,17,5,VA,M - Motor Vehicle Accidents,07-October-2024,21-October-2024,28-October-2024,,,07-October-2024,0
VA M10379,0,18,1,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,04-October-2024,08-October-2024,02-October-2024,0
VA M10093,0,19,9,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,21-October-2024,28-October-2024,,07-October-2024,0
