Court File number,Unmet demand (months),Lottery ranking,Hearing Length (days),Registry ID,Court Class,First Choice Date,Second Choice Date,Third Choice Date,Fourth Choice Date,Fifth Choice Date,Date booked,New unmet demand (months)
VA M00175,2,1,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,01-October-2024,0
VA M00169,2,2,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00369,1,1,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00397,1,2,25,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,,,,07-October-2024,0
VA M00361,1,3,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00374,1,4,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,01-October-2024,0
VA M00274,1,5,5,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,Not Booked,2
VA M00366,1,6,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00372,1,7,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,01-October-2024,0
VA M00380,1,8,1,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,04-October-2024,08-October-2024,01-October-2024,0
VA M00373,1,9,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,01-October-2024,0
VA M00362,1,10,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00275,1,11,5,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,Not Booked,2
VA M00375,1,12,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,02-October-2024,0
