Court File number,Unmet demand (months),Lottery ranking,Hearing Length (days),Registry ID,Court Class,First Choice Date,Second Choice Date,Third Choice Date,Fourth Choice Date,Fifth Choice Date,Date booked,New unmet demand (months)
VA M00369,1,1,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00274,1,2,5,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,Not Booked,2
VA M00363,1,3,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00275,1,4,5,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,Not Booked,2
VA M00397,1,5,25,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,,,,07-October-2024,0
VA M00370,1,6,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00398,1,7,18,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,,,,07-October-2024,0
VA M00376,1,8,1,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,04-October-2024,08-October-2024,01-October-2024,0
VA M00365,1,9,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00362,1,10,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00367,1,11,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00361,1,12,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,01-October-2024,0
VA M00374,1,13,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,01-October-2024,0
VA M00377,1,14,1,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,04-October-2024,08-October-2024,01-October-2024,0
VA M00368,1,15,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,08-October-2024,0
VA M00366,1,16,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,08-October-2024,0
VA M00396,1,17,30,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,,,,07-October-2024,0
VA M00380,1,18,1,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,04-October-2024,08-October-2024,02-October-2024,0
VA M00273,1,19,5,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,Not Booked,2
VA M00372,1,20,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,02-October-2024,0
VA M00378,1,21,1,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,04-October-2024,08-October-2024,02-October-2024,0
VA M00281,1,22,2,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,03-October-2024,08-October-2024,09-October-2024,02-October-2024,0
VA M10087,0,1,11,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,21-October-2024,28-October-2024,,07-October-2024,0
VA M10359,0,2,4,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,21-October-2024,28-October-2024,,07-October-2024,0
VA M10257,0,3,5,VA,M - Motor Vehicle Accidents,07-October-2024,21-October-2024,28-October-2024,,,07-October-2024,0
VA M10230,0,4,5,VA,M - Motor Vehicle Accidents,07-October-2024,21-October-2024,28-October-2024,,,07-October-2024,0
VA M10242,0,5,5,VA,M - Motor Vehicle Accidents,07-October-2024,21-October-2024,28-October-2024,,,07-October-2024,0
VA M10090,0,6,6,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,21-October-2024,28-October-2024,,07-October-2024,0
VA M10363,0,7,3,VA,M - Motor Vehicle Accidents,01-October-2024,02-October-2024,08-October-2024,09-October-2024,16-October-2024,16-October-2024,0
VA M10351,0,8,4,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,21-October-2024,28-October-2024,,07-October-2024,0
VA M10259,0,9,5,VA,M - Motor Vehicle Accidents,07-October-2024,21-October-2024,28-October-2024,,,07-October-2024,0
VA M10354,0,10,4,VA,M - Motor Vehicle Accidents,07-October-2024,15-October-2024,21-October-2024,28-October-2024,,07-October-2024,0
VA M10224,0,11,5,VA,M - Motor Vehicle Accidents,07-October-2024,21-October-2024,28-October-2024,,,07-October-2024,0
